City,Lat,Lng,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp
Qaanaaq,77.48,-69.36,92,100,2.64,GL,1607901446,24.836
Hasaki,35.73,140.83,93,75,2.6,JP,1607901167,41.0
Leh,34.17,77.58,63,0,0.56,IN,1607901446,3.3980000000000032
Ushuaia,-54.8,-68.3,45,40,7.7,AR,1607901447,48.2
San Antero,9.37,-75.76,81,69,4.04,CO,1607901447,79.718
Lompoc,34.64,-120.46,82,90,3.1,US,1607901447,60.007999999999996
Klaksvík,62.23,-6.59,75,100,13.9,FO,1607901447,46.4
Atuona,-9.8,-139.03,72,1,6.3,PF,1607901447,79.34
Meadow Lake,34.8,-106.54,32,20,2.1,US,1607901447,39.992
Chokurdakh,70.63,147.92,88,100,2.94,RU,1607901448,-19.786
Port Lincoln,-34.73,135.87,55,1,5.8,AU,1607901448,77.918
Porbandar,21.64,69.61,47,62,5.7,IN,1607901448,67.082
Barrow,71.29,-156.79,64,1,10.8,US,1607901365,-4.0
Mataura,-46.19,168.86,72,89,5.36,NZ,1607901448,57.002
Muros,42.78,-9.06,89,55,7.15,ES,1607901448,59.0
Bluff,-46.6,168.33,72,100,5.36,NZ,1607901449,57.002
Avarua,-21.21,-159.78,74,43,3.1,CK,1607901449,84.2
Mahébourg,-20.41,57.7,94,75,6.2,MU,1607901449,75.2
Glendive,47.11,-104.71,78,90,2.6,US,1607901449,10.994
Natchitoches,31.77,-93.13,93,90,7.7,US,1607901450,48.2
Umeå,63.83,20.26,98,90,3.1,SE,1607901450,32.0
Dumbrăviţa,45.77,25.43,87,98,0.89,RO,1607901450,41.0
Hermanus,-34.42,19.23,92,19,3.35,ZA,1607901450,57.002
Cidreira,-30.18,-50.21,95,84,3.02,BR,1607901450,70.80799999999999
Zelenoborskiy,66.84,32.36,25,97,1.61,RU,1607901450,21.002
Punta Arenas,-53.15,-70.92,61,40,9.3,CL,1607901450,50.0
Samfya,-11.36,29.56,91,100,1.77,ZM,1607901450,64.94
Port Alfred,-33.59,26.89,96,20,1.34,ZA,1607901451,64.994
Grand Gaube,-20.01,57.66,84,26,1.34,MU,1607901451,73.994
Waingapu,-9.66,120.26,76,100,2.1,ID,1607901451,80.654
Guerrero Negro,27.98,-114.06,21,0,8.51,MX,1607901451,71.33
Ocean City,39.28,-74.57,58,1,5.1,US,1607901451,55.004
Gold Coast,-28.0,153.43,88,90,10.3,AU,1607901322,71.996
Nouadhibou,20.93,-17.03,68,61,6.7,MR,1607901244,64.4
Tasiilaq,65.61,-37.64,64,100,8.02,GL,1607901452,37.4
Hilo,19.73,-155.09,69,90,2.6,US,1607901255,80.6
Leningradskiy,69.38,178.42,90,100,8.93,RU,1607901452,15.89
Saint-Philippe,-21.36,55.77,88,75,7.7,RE,1607901452,73.4
São João da Barra,-21.64,-41.05,83,97,9.17,BR,1607901452,75.974
Vikulovo,56.82,70.61,95,62,3.87,RU,1607901452,7.753999999999998
Ola,59.58,151.28,86,95,6.88,RU,1607901452,-8.823999999999998
Cherskiy,68.75,161.3,88,100,1.95,RU,1607901453,-17.482
Kapaa,22.08,-159.32,65,1,3.1,US,1607901453,82.4
Bay Roberts,47.6,-53.26,100,90,7.7,CA,1607901453,30.992
Rikitea,-23.12,-134.97,70,42,2.28,PF,1607901371,76.28
Cape Town,-33.93,18.42,82,0,0.5,ZA,1607901301,62.00600000000001
Makakilo City,21.35,-158.09,65,1,3.6,US,1607901454,82.4
Teknāf,20.86,92.31,81,0,2.1,BD,1607901454,65.66
Kruisfontein,-34.0,24.73,95,7,0.45,ZA,1607901454,64.994
Bacolod City,10.67,122.95,83,59,2.52,PH,1607901454,79.124
Tuatapere,-46.13,167.68,72,44,5.36,NZ,1607901454,57.002
Salihorsk,52.79,27.54,99,100,2.44,BY,1607901454,30.884
Marrakesh,31.63,-8.01,87,75,1.0,MA,1607901454,59.0
Puerto Ayora,-0.74,-90.35,58,0,4.6,EC,1607901455,82.4
Albany,42.6,-73.97,66,100,3.56,US,1607901455,42.007999999999996
Geraldton,-28.77,114.6,72,0,2.1,AU,1607901455,59.0
Butaritari,3.07,172.79,74,4,8.05,KI,1607901455,82.274
Vzmorye,54.7,20.24,96,75,2.0,RU,1607901455,32.0
Pisco,-13.7,-76.22,73,0,10.8,PE,1607901455,71.6
Faxinal,-24.0,-51.32,91,49,1.68,BR,1607901456,68.63
New Norfolk,-42.78,147.06,43,0,1.34,AU,1607901257,77.0
Airai,-8.93,125.41,100,100,0.25,TL,1607901456,65.498
Rodolfo Sánchez Taboada,31.72,-116.57,64,24,2.57,MX,1607901456,64.994
Saskylakh,71.92,114.08,83,100,7.87,RU,1607901456,-23.169999999999995
Busselton,-33.65,115.33,94,25,4.16,AU,1607901456,53.996
Bredasdorp,-34.53,20.04,82,55,1.5,ZA,1607901456,59.0
Nagato,34.38,131.2,41,75,7.7,JP,1607901457,42.8
Khatanga,71.97,102.5,92,100,3.97,RU,1607901457,-5.332000000000001
Lebu,-37.62,-73.65,74,12,6.89,CL,1607901457,55.238
St. George's,12.06,-61.75,88,20,2.6,GD,1607901457,80.6
Lüderitz,-26.65,15.16,87,0,6.7,NA,1607901457,59.0
Shimoda,34.67,138.95,58,35,2.24,JP,1607901165,48.992
Whitehorse,60.72,-135.05,71,75,1.0,CA,1607901322,8.600000000000001
Auburn,47.31,-122.23,81,75,3.1,US,1607901220,46.004
Cayenne,4.93,-52.33,88,0,3.31,GF,1607901458,78.8
Vardø,70.37,31.11,85,0,4.6,NO,1607901458,26.6
Castro,-24.79,-50.01,95,45,2.14,BR,1607901458,66.70400000000001
Bolshoye Nagatkino,54.52,47.97,83,59,1.0,RU,1607901458,-4.0
Sunrise Manor,36.21,-115.07,21,75,5.7,US,1607901311,48.992
Kaitangata,-46.28,169.85,52,89,1.79,NZ,1607901459,62.995999999999995
